taxi_id,trips_count,total_trip_total,total_trip_seconds,total_trip_miles
2bf9f0a25f68acc4b7a626db3c45b2af37069e683684a6c82de499988a3917104291e78f190920e96b520e2b74b7da6abfce821c3bcc8bc8c8467f143d06b1c2,1173,23675.79,1315144.0,7508.3
2ce840b44fa244ea47dfb86afff69589a13c283fa7b3caca4a0cbdaa43fad512a3c37f41f6880bbac5567d091b1b47ba135b1b2bee61a5cd88d11a9406e2228b,6780,89362.52,5312688.0,24350.6
2ec07cbb1d4cdb047db73f997c29d1e1f126dcdab65658837d4580e860a7f2ec4eba74b5ee6155e28969e9ecc5b63cd745f0b5fb53245b3b0d4aae38cca5011d,188,2763.87,128144.0,748.6
322630536b6fae63312b46cb1ddab0df9493b49a3eb5decc1f6877df612635317b87068aa89d1107157b16c8f97eb2fd3a4bff1034b717fa0fbddac94c9661c9,5470,68516.66,4164305.0,18116.9
325822c24b90e28594c09e37bef34615727e284addd53742169b6000033d30162c09f84cd49f6c87b1c41ae1ec1bf459f6b51b1b896ba144a8934d5e5b44603d,5288,60569.02,3362383.0,15712.8
3300ef4ef04f16fe8224adee10ae27ccf7a13236c94fbdc1ac7c2ad805a0143b10228c75fb1a75b5c033eb2ce49c7d71e20917e3ede6afa67e702b33eda7ac6c,4249,85622.3,4527662.0,28981.3
330e2cfa9d185d86bcb2ada3aa163288a41506e678e3125ae6fd325bd055b39cb6295b44a5f4ea58c7b05114576ff180228767d5d9649c73a5748ff7108aa970,3384,48033.04,2929779.0,13705.2
341cead8979074196f3231099ef811c4e905d7031dd6d7474e73483dce7fc666624798bac917ccc5bc8237cf33cdc0fb287db88a93ec53fc5472d3c8255d9eca,13756,144184.5,7867756.0,37575.9
34420c09ddb5a66884e00ab8322230f6c75705582d608dde16ad25ced37809796729102563e8ae518531f0f4271868bf3f2aa42e0661fdeab32024d6d853437c,6260,74046.27,4266893.0,19700.2
35a442cf7913c9ddfbcd75d97179667ee556898e8d8b55dc8ee989778501bbc217188081eb2a3c2ac4c4e321a38aec14bbd08e4b61938f6a332676c9a4638237,5258,59241.39,3601559.0,15111.5
368c2fe7411b3ba707de6ecc150eacc272f347c45202e865e4002c347b3a03d6ccb804e2ae8da9cf4f229b9740ed58cc120b5e348a26a8b49d31489106fb55db,2424,32314.28,1874841.0,8931.4
36e5256c59cdf8630cef91591da02b0d6f6d77a0a946888bcb6b5e84af503e8ef1bcb9382102ba541f44c94be785707a874e18ef2a41e205fc810eaa3d3d7bf3,3132,48351.06,2676946.0,14879.7
381073dbf3ae4b93be75dce656280b6e97811a6fb3571094f7ed7a4f672ea86d5119d818eaebaf0ed22ccdc25fe004e56e504e707555e479fc50c840f330f268,165,1614.52,90373.0,403.3
39c4050e0bb9b128806d0e38f02385d245e734df83ff1d87676b1a294a40709034d3baad30789f64b9072ca071346d183acd392737678ac71f2ccc9f78d42695,6723,78626.72,4412717.0,21124.2
3a48885f15669a1014b21c0c42213778bc14dafa34ed96c3f33ecf8db6a471960e011bc19b22959bf9862da48db95118674e5560cbdff6d77c022bd899b69457,1112,15579.02,973864.0,4587.2
3a4ea954d4316a9f964becc37dbd73ecd4cd47cb9b8948bf5c61b3d6e61cf4fdc3e1b9fb1ed7137256ebf90ef39ed239fdd9ad882c9e084c669e56e83b47deac,2567,27088.39,1624835.0,6041.9
3b6f6ca381f164253171136e5ab4d752da5ec9223ea20fc37bd526a5984e1d7183382aad2fb8d99e5a9012963f5957b50f7316b94191d39f4a8f2bd558885e44,1990,26227.56,1592946.0,7350.2
3cbdc624a4ef03ecd064f284467041ab8077b80cceffc364a99b7b7e88088bf181b41313041db85bfb1fa82c96db22c6ec42fffbe859c677b63c811b9adbfa19,3881,46042.86,2835987.0,13037.7
3cf0a8ef30c60ae259efadb4c062c71991a590e106f956a253afd394a0f27f45628e5169b97d1d1c8599f6fea7fc367054d8985bfa3f1cafd91757547d6400fb,9701,118283.85,6838761.0,33999.2
3d40d8f1773ed97088a0ae1f9438846e0b80e89fa5c97fa7c73833203f624618bc7b2f6393758fd91f72764fb5f51001287112d0d68f9a167c0968c9c89732f5,2472,28483.59,1599093.0,7776.9
40e551f9ee122fa5a62002a4a653e5fe3fe7739318b20872d3595f98ca265d39c33a605750b4e3f5f9667a7f195e24d3836120d88f915afb39bbfea9502610ec,2875,36350.87,2108234.0,9978.7
40fd22404c574889d0d3a27e8d26e6b1c9fc3a5fb41b5795a7a0ddd660e492b87b8cc6acaa268a395eba9f075ebb609d8e94d55338f171548146fab920b195e5,2244,27873.51,1841778.0,7677.8
41a36425261b1f11b76cfb1e34fe8483c0d1517b452353597cbf8539112e24e14b2196965da3a2b6e898b1b8f97d8ce1579dec2a7bb10ae51e3b9fd0eebf8fe6,8827,97585.37,5777888.0,24332.8
43ef7f4566fea42196dd20301358f1d375ebcb921e3a3aef0f8ae59c0265c798f90ce4b855ab8a73f37ac80bb61abfc5c51dcd8b855fe998d49ae8a363a71813,286,3468.4700000000003,179604.0,920.5
45b499c75ab5b737af29fe68299330dcf0a41a140a8e4a0c7848e2ee9ab1666793ce3b343cb32be2c84758d0453a9b940ea626b71061142b353052ebef3792de,3640,75256.9,4147841.0,26721.1
476c0017d13687fac2a4fc4c45c9dd1d8a1fb3dfb0da84c90db600ad0fe1a7f7b2c6e4f311efcc3440e71892534f5083838f94b8021447cb71347b854830d2eb,6032,69205.52,4243958.0,18878.2
4a7ecb44d4bed73317a84e6793cbc8bae7015e0a633496bee743fe4c179c79cc9507be85dc96920f24e83ababdd61e14d9f08761b0672625384a01bf5db1b839,4828,56265.84,3495875.0,14995.0
4dee082550df0ce050828e9136e0d006b6daa586f5ef7f4766256650fb7717e11b957f7e6ba3a4b317b2914ad70a93b485af025d7b49fa730cfda2a51202785c,2400,33113.73,1817893.0,10045.0
4e8b558dc6742b3e05012d7529c1fbf138546b3f3e61f3d321d568661d6dedb4fa96ff41e92a850398f653691fbbabd26823488a6649bab72f1d7abeede1d508,8554,111675.22,6274016.0,32045.8
4f668f85788daa1fd884be02dd75752700bca77c2a9a53959f28751b90b20f5a4c3f0bb35f9f07f325cedb934b6851a66a9d524305652f461768be9e7cf2acb3,2624,34603.02,2047761.0,9485.6
