taxi_id,Public Vehicle Number,Vehicle Make,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source
a4b608e480d78cdf6a1bf59575fd3290f346d0f06d0663d0be50755d10e6a9c2fdbbcaf63f76e9663c9186cb878ed64c45463de47c25c4a42ba6efc71ab9c8b6,1631,FORD,2010.0,GREEN,Hybrid
9edd20b3521c295e441b95f219f9030974df980349b4437c014cfbacea493cd8448557c1b37c0d49f431d978c4a78ff733b785dccc2fe8b3e5c81cb00298112b,6288,TOYOTA,2015.0,YELLOW,Hybrid
807f82595e67582251c7abcdde792543facfa8792727326c4528282eb098127c5d4735e821dfbb7fc06e9c303b3e99f8fcbf72761d03765e91d3504fd01bd5bf,3324,TOYOTA,2013.0,WHITE/BLUE/STRIPES,Hybrid
bd148166cee8cd0aa6477ae76e191ac3ac647166ff5a860b8339a793facb0dcbca00c90f51b3678ca3bb649367636e501b116f34fc9a8d655f70c7b7d985f50c,1206,FORD,2012.0,WHITE,Hybrid
f2721c7874859e2db0826b73aaa9dfe1ff67c606a9fd752865b073995ea600a139fbb6ce4ce7bc07c28e1eca22c6403585e4eb0fb87ab5b405ac8c29c3796fb8,3661,DODGE,2013.0,WHITE,Flex Fuel
824726452b94cfd411500410b26d1d60e5e07ada21556dbe125f715dd99249a63342560e3c0e09a2d4647104a55682a7d60ebe8d4ec1ed11c72177b97a802d69,3226,TOYOTA,2012.0,WHITE,Hybrid
a3b9deb7c5e620ed0616436615eca3e483774a186408ccf9de678cc74263e89832a0c51c03919e4c877bb5c2337e9af5cf2fe9428d08efbb13445bcaf9a67e85,1602,TOYOTA,2014.0,WHITE,Hybrid
ea33b4e3b9cf2f2cc5ba2791802eedb926f7feafef7225466fa912af17eea46770bb8dd0f3da20de73565b887cbdd073301a1ad703264b440bd4afbbeb92e80d,6625,TOYOTA,2013.0,WHITE,Hybrid
223702c6155649517dcb9f4860ae0fa2669903bbe7d54fae5475cd9677fc8230ad3f1bf9721b88063fb7a3e7b153de9a2e27521d15392ae203f9b17169833607,3242,TOYOTA,2014.0,WHITE,Hybrid
d13c5aaa066f94b4927779ed24cd313b0c686f03407095cf5daa4c227d411eb5049a5b1ce8ff07157f9641e0e863be971c9d24bc3ef3f89857d7788fef397242,5187,TOYOTA,2014.0,WHITE,Hybrid
c6adb6baeda007c313bcfac69d067e70ee3951174722107b3cef4c6335c1f87ca614665d2a6ad3ba31eeae58dce19ab8e313c1922c07c61a89e9d5b6dcf83b55,6065,TOYOTA,2014.0,WHITE/BLUE/STRIPES,Hybrid
c34d6347f812df0e22ee1a907881bffff574dab3839a95c5bb06b084981ae17bc9bbcf5b534862cd5784e7b6ab5c990da8d61cdfbe5334edfa1b82d247a87db3,2878,TOYOTA,2012.0,WHITE,Hybrid
ef738636dac740adcf240763071fabab60321ac0908480cb625b06e050c45c590f22d8cb4bf4450d85bf175322ce513618335d432ed1be896a9f0e940a0672f1,5353,TOYOTA,2013.0,WHITE,Hybrid
bb543b13edcbadb4b9c9360dd8636e771b2dc3aad693dfef0e5d69d764a0e8ac636bffa8e473924bf74482b1b54a2fdf6448b56a3a0bd360ec66ac1414772a65,1089,TOYOTA,2015.0,WHITE,Hybrid
06bc61544b9852a39f87655bed9cd9524b3ddfb25bbc5b3c7b68236d5b3caeb5dc37d4dd9720963a517efabc44a44bf12b98816d00121b3f61c67980335ff676,145,NISSAN,2011.0,WHITE,Hybrid
72920f6ebc5830d39039323cf78a316085444eb8f8b27236f0f7a357fcdef7e58bbea454b63ea564d65ecef89c688606725689733c927cd86e2e16ce8b63bf07,1695,TOYOTA,2011.0,BLUE,Hybrid
b5e2af928ea6e3cd9114b6e919e35ad9c5a7ec66a14941c54fb512c6e430d60f53f4b03647f4171ba8cebf2e6a0218a70a5eb7c16de2ea249b385f4ce3c24373,3269,TOYOTA,2014.0,WHITE,Hybrid
887b2728097b2d9f149774b8cc04fe9d80b9221506ef8c47038235414010bf62dc8b009374ab2c8a20cc0be93fe0f73093b7cc8bbeb7f5eee1d313c04d66b2e0,6712,TOYOTA,2014.0,WHITE,Hybrid
b12c6be9f088bab50b80d41139e9c64c78030e062ad56788454126913725692a146d6dd6cceac1c5a76d5dbe30c102460f3218b5557e425f47db49b454930847,4781,TOYOTA,2013.0,YELLOW,Hybrid
15ddbeeb791d41c7683b885617281c0b548544f189ee3630ea6205078abf793173f13acb37440222ebe2a7a3b701fdfca26b4a2d5d75921a3218ad63ab23aa3a,3673,TOYOTA,2012.0,WHITE,Hybrid
29f0036be86a5830f9f045527766d16967c8330b9da28e178dfacc7c17216759f3997e00ac43333ce6a3c2811dd3e0c7a08e219439a79cd1d2b19d13af9b790c,6431,TOYOTA,2011.0,WHITE,Hybrid
4ec44ec06c609190307efb533020980a614bc05a87dee29f1095ff5f758983c1b0d33a0ac243307d1241c291b3954f91de26b20b05e1cdba158603d8012a3790,3310,TOYOTA,2011.0,WHITE,Hybrid
de9c82ade5b6921bc4d7387de3f43a24c807309298bd3acf8555dfdb0aa55cde81304fba2dbf45c545bc78229e18eee0f5136bd44cc8e78de70ca21e376bee99,1840,TOYOTA,2013.0,WHITE,Gasoline
3129d0698b6fb9b549bb86967032b957abbfb485f80fc7604a235b335c05ae062869a18b706e656798d5c7391d79c5cd954c791ee21fee7f5ee6cb29bb3b3878,4360,TOYOTA,2013.0,WHITE,Hybrid
7abf21809bb043cd98a7da5af365dd60088d19d08076f0e8eb76076ca071fb1965572cae625aa743839c7a58bab11481e93ca43a6bf004b5b901a6b77f3e5af1,1400,FORD,2011.0,BLUE/WHITE,Hybrid
a65dede618671951baaba8f54ab330e12d5979765c8e68ca5877d91eb98595b5f72ef95fb5bfdb663cf0abf5474457a2cc859aa08da107be4ec430ec71a4c95d,4977,TOYOTA,2014.0,WHITE,Hybrid
4a7ecb44d4bed73317a84e6793cbc8bae7015e0a633496bee743fe4c179c79cc9507be85dc96920f24e83ababdd61e14d9f08761b0672625384a01bf5db1b839,3258,TOYOTA,2015.0,WHITE,Hybrid
