location_coordinates,address,type
"41.983330806, -87.681993542","North Bowmanville Avenue, Bowmanville, Lincoln Square, Chicago, Lake View Township, Cook County, Illinois, 60625, United States",tertiary
"41.949060526, -87.661642904","3702-3706, North Lakewood Avenue, Wrigleyville, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60613, United States",yes
"41.982272929, -87.841586432","West Bryn Mawr Avenue, O'Hare, Chicago, Jefferson Township, Cook County, Illinois, 60631, United States",parking
"41.945282331, -87.661545096","1257, West Cornelia Avenue, Wrigleyville, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60657, United States",yes
"41.963184966, -87.683854556","2180, West Sunnyside Avenue, West Ravenswood, Lincoln Square, Chicago, Lake View Township, Cook County, Illinois, 60640, United States",detached
"41.945069205, -87.67606274","1846, West Cornelia Avenue, Roscoe Village, North Center, Chicago, Lake View Township, Cook County, Illinois, 60657, United States",yes
"41.988704022, -87.657234828","5848, North Kenmore Avenue, Edgewater Glen, Edgewater, Chicago, Lake View Township, Cook County, Illinois, 60660, United States",yes
"41.863422684, -87.653756619","1071-1081, West 14th Street, University Village/Little Italy, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60608, United States",yes
"41.957530922, -87.66661144","1460-1462, West Warner Avenue, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60613, United States",yes
"41.935706471, -87.703854544","2958, North Whipple Street, Maplewood, Avondale, Chicago, West Chicago Township, Cook County, Illinois, 60618, United States",yes
"41.921125914, -87.699754406","2153, North Richmond Street, Logan Square, Chicago, West Chicago Township, Cook County, Illinois, 60647, United States",yes
"41.957903897, -87.671518011","1726, West Berteau Avenue, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60613, United States",school
"41.9725808, -87.694001061","5014, North Rockwell Street, Bowmanville, Lincoln Square, Chicago, Jefferson Township, Cook County, Illinois, 60625, United States",yes
"41.744205146, -87.656305986","8224, South Throop Street, Brainerd, Auburn Gresham, Chicago, Lake Township, Cook County, Illinois, 60643, United States",yes
"41.906707792, -87.684685949","2257-2259, West Hirsch Street, Wicker Park, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60622, United States",yes
"41.91213208, -87.689711275","1701, North Campbell Avenue, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60647, United States",yes
"41.706125752, -87.598255838","1031, East 103rd Street, Pullman, Chicago, Hyde Park Township, Cook County, Illinois, 60628, United States",yes
"41.928431564, -87.699968591","North Francisco Avenue, Maplewood, Logan Square, Chicago, West Chicago Township, Cook County, Illinois, 60618, United States",residential
"41.810879008, -87.726363325","4516, South Karlov Avenue, Archer Heights, Chicago, Lake Township, Cook County, Illinois, 60629, United States",yes
"41.84201118, -87.622036461","200, East 29th Street, South Commons, Chicago, Cook County, Illinois, 60616, United States",house
"41.792981903, -87.724208194","5505, South Komensky Avenue, Elsdon, West Elsdon, Chicago, Lake Township, Cook County, Illinois, 60632, United States",apartments
"41.920801704, -87.694532342","2210, North Milwaukee Avenue, Bucktown, Logan Square, Chicago, West Chicago Township, Cook County, Illinois, 60647, United States",yes
"41.934650448, -87.634647877","Diversey Driving Range, 141, North Lake Shore Drive West, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60657, United States",golf_course
"41.871689474, -87.654092652","1077, West Polk Street, University Village/Little Italy, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60607, United States",yes
"41.827437232, -87.632558769","West 37th Street, Armour Square, Chicago, Cook County, Illinois, 60609, United States",parking
"41.915909788, -87.68382594","1851, North Wilmot Avenue, Bucktown, Logan Square, Chicago, West Chicago Township, Cook County, Illinois, 60647, United States",yes
"41.878914496, -87.70589713","151, South Kedzie Avenue, East Garfield Park, Chicago, West Chicago Township, Cook County, Illinois, 60612, United States",house
"41.921019607, -87.710359144","2142-2156, North Spaulding Avenue, Simons, Logan Square, Chicago, Jefferson Township, Cook County, Illinois, 60647, United States",residential
"41.792357223, -87.61793138","5600-5620, South Calumet Avenue, Washington Park, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States",yes
"41.717493036, -87.648895072","9701, South Carpenter Street, Washington Heights, Chicago, Lake Township, Cook County, Illinois, 60643, United States",yes
"41.957651916, -87.691530248","2472, West Berteau Avenue, Ravenswood Gardens, North Center, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",yes
"41.777196255, -87.642497527","Kershaw Elementary School, South Lowe Avenue, Becks Park, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",school
"41.805911699, -87.587479258","4922-H, South Cornell Avenue, Indian Village, Kenwood, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States",house
"41.817366208, -87.698860797","4177-4197, South Archer Avenue, Brighton Park, Chicago, Lake Township, Cook County, Illinois, 60632, United States",yes
"41.884767784, -87.684147449","2222, West Lake Street, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60612, United States",yes
"41.689729914, -87.669054403","11173, South Esmond Street, Morgan Park, Chicago, Lake Township, Cook County, Illinois, 60643, United States",yes
"41.994059824, -87.694630719","2603, West Granville Avenue, West Ridge, Chicago, Jefferson Township, Cook County, Illinois, 60645, United States",yes
"41.929329713, -87.711974254","2633, North Kimball Avenue, Logan Square, Chicago, Jefferson Township, Cook County, Illinois, 60659, United States",residential
"41.965141709, -87.676578071","1910-1912, West Wilson Avenue, West Ravenswood, Lincoln Square, Chicago, Lake View Township, Cook County, Illinois, 60625, United States",yes
"41.744199535, -87.586348318","1540, East 83rd Street, Pierces Park, Avalon Park, Chicago, Hyde Park Township, Cook County, Illinois, 60619, United States",yes
"41.874176625, -87.661861124","1407, West Harrison Street, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60607, United States",terrace
"41.985472422, -87.653793529","5506, North Jean Baptiste Point DuSable Lake Shore Drive, Edgewater, Chicago, Lake View Township, Cook County, Illinois, 60660, United States",house
"41.952719111, -87.660503502","Clark & Byron, North Clark Street, Wrigleyville, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60613, United States",bus_stop
"41.935983574, -87.675821928","1901, West Wellington Avenue, Bricktown, North Center, Chicago, Lake View Township, Cook County, Illinois, 60618, United States",yes
"41.94136566, -87.680826903","3259, North Hoyne Avenue, Hamlin Park, North Center, Chicago, Lake View Township, Cook County, Illinois, 60618, United States",yes
"41.937401794, -87.722330298","3105, North Haussen Court, Avondale, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",yes
"41.745757713, -87.708365704","3447-3457, West Columbus Avenue, Clarkdale, Ashburn, Chicago, Lake Township, Cook County, Illinois, 60652, United States",yes
"41.892276708, -87.679397479","599, North Hoyne Avenue, Ukrainian Village, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60612, United States",house
"41.987225558, -87.664937724","5821-5827, North Glenwood Avenue, Edgewater Glen, Edgewater, Chicago, Lake View Township, Cook County, Illinois, 60660, United States",yes
"41.967011761, -87.670621043","1631-1633, West Leland Avenue, Ravenswood, Uptown, Chicago, Lake View Township, Cook County, Illinois, 60640, United States",yes
"41.769778059, -87.726929842","6751, South Keeler Avenue, West Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",yes
"41.979795551, -87.671445547","1644, West Balmoral Avenue, Summerdale, Edgewater, Chicago, Lake View Township, Cook County, Illinois, 60640, United States",yes
"41.955771787, -87.701213104","2858, West Belle Plaine Avenue, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",yes
"41.991234532, -87.65730427","6006, North Kenmore Avenue, Edgewater Glen, Edgewater, Chicago, Lake View Township, Cook County, Illinois, 60660, United States",apartments
"41.740205756, -87.615969523","354, East 85th Street, Garden Homes, Chatham, Chicago, Hyde Park Township, Cook County, Illinois, 60619, United States",yes
"41.967288614, -87.652435","849-851, West Leland Avenue, Uptown, Chicago, Lake View Township, Cook County, Illinois, 60640, United States",yes
"41.978294249, -87.716430416","Northeastern Illinois University, 5500, North Saint Louis Avenue, North Park, Chicago, Jefferson Township, Cook County, Illinois, 60625, United States",university
"41.741242728, -87.551428197","Commercial & 85th Street, South Commercial Avenue, The Bush, South Chicago, Chicago, Hyde Park Township, Cook County, Illinois, 60617, United States",bus_stop
"41.979855309, -87.694096022","5401-5403, North Rockwell Street, Bowmanville, Lincoln Square, Chicago, Jefferson Township, Cook County, Illinois, 60645, United States",yes
"41.891948382, -87.689125909","597, North Campbell Avenue, Ukrainian Village, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60612, United States",house
"41.915741193, -87.692256326","1915, North Rockwell Street, Bucktown, Logan Square, Chicago, West Chicago Township, Cook County, Illinois, 60647, United States",yes
"41.892196429, -87.6842894","612, North Oakley Boulevard, Ukrainian Village, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60622, United States",yes
"41.978875058, -87.657871263","5321, North Winthrop Avenue, Edgewater, Chicago, Lake View Township, Cook County, Illinois, 60640, United States",yes
"41.959526791, -87.702098541","4300, North Richmond Street, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60625, United States",yes
"41.964506955, -87.70273347","2943, West Wilson Avenue, Ravenswood Manor, Albany Park, Chicago, Jefferson Township, Cook County, Illinois, 60625, United States",yes
"41.935438915, -87.693325868","2950, North Rockwell Street, Maplewood, Avondale, Chicago, West Chicago Township, Cook County, Illinois, 60618, United States",yes
"41.966806346, -87.694020097","4700, North Rockwell Street, Ravenswood Gardens, Lincoln Square, Chicago, Jefferson Township, Cook County, Illinois, 60625, United States",yes
"41.957360691, -87.722822251","4201, North Hamlin Avenue, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60625, United States",yes
"41.899445769, -87.68931919","1001-1007, North Campbell Avenue, Ukrainian Village, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60647, United States",yes
"42.005559764, -87.901885838","DHL Global Forwarding, 895, Upper Express Drive, O'Hare, Chicago, Jefferson Township, Cook County, Illinois, 60666, United States",post_depot
"42.015934376, -87.666536278","1405-1407, West Jarvis Avenue, Rogers Park, Chicago, Rogers Park Township, Cook County, Illinois, 60626, United States",yes
"41.878594358, -87.730232428","4157, West Wilcox Street, West Garfield Park, Chicago, West Chicago Township, Cook County, Illinois, 60624, United States",yes
"42.000320306, -87.6631268","6459, North Lakewood Avenue, Rogers Park, Chicago, Rogers Park Township, Cook County, Illinois, 60626, United States",yes
"41.840930806, -87.660617833","2976, South Archer Avenue, Locks, Bridgeport, Chicago, Cook County, Illinois, 60608, United States",yes
"41.950077635, -87.722610871","3801, North Hamlin Avenue, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60625, United States",yes
"42.001313249, -87.684198195","Robert A. Black Golf Course, North Hoyne Avenue, Granville Gardens, West Ridge, Chicago, Rogers Park Township, Cook County, Illinois, 60645, United States",golf_course
"41.993440946, -87.657417742","6134, North Kenmore Avenue, Edgewater Glen, Edgewater, Chicago, Lake View Township, Cook County, Illinois, 60660, United States",yes
"41.877383471, -87.680654116","2143, West Jackson Boulevard, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60612, United States",yes
"41.856144105, -87.648978324","914, West 19th Place, Pilsen, Lower West Side, Chicago, West Chicago Township, Cook County, Illinois, 60608, United States",yes
"41.834480698, -87.632959635","Turtles Bar and Grill, 238, West 33rd Street, Armour Square, Chicago, Cook County, Illinois, 60616, United States",bar
"41.980606166, -87.654537868","Park Tower Condominiums, 5415, North Sheridan Road, Edgewater, Chicago, Lake View Township, Cook County, Illinois, 60626, United States",apartments
"41.957264108, -87.730898785","4131-4133, West Berteau Avenue, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60641, United States",yes
"41.841928026, -87.62836651","2910, South Dearborn Street, Dearborn Homes, Chicago, Cook County, Illinois, 60616, United States",apartments
"42.004517488, -87.663327859","1252-1254, West Columbia Avenue, Rogers Park, Chicago, Rogers Park Township, Cook County, Illinois, 60626, United States",yes
"41.694878966, -87.713192497","10900, South Lawndale Avenue, Mount Greenwood, Chicago, Lake Township, Cook County, Illinois, 60655, United States",yes
"41.933675988, -87.712357476","2865, North Kimball Avenue, Avondale, Chicago, Jefferson Township, Cook County, Illinois, 60659, United States",yes
"41.886005786, -87.671873941","Great Central Brewing, 221, North Wood Street, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60612, United States",brewery
"41.841691119, -87.612563947","2921, South Lake Park Avenue, Douglas, Chicago, Cook County, Illinois, 60616, United States",house
"41.935749459, -87.680980301","2958, North Hoyne Avenue, Hamlin Park, North Center, Chicago, Lake View Township, Cook County, Illinois, 60618, United States",yes
"41.707311449, -87.534902901","Gallistel Language Academy, 10347, South Ewing Avenue, East Side, Chicago, Hyde Park Township, Cook County, Illinois, 60617, United States",school
"41.860762262, -87.700691903","South Sacramento Drive, North Lawndale, Chicago, West Chicago Township, Cook County, Illinois, 60623, United States",pitch
"41.706587882, -87.623366512","2, East 103rd Place, Roseland, Chicago, Hyde Park Township, Cook County, Illinois, 60628, United States",yes
"41.949974454, -87.730684255","4121, West Grace Street, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60641, United States",yes
"41.963153311, -87.69225876","2529, West Sunnyside Avenue, Ravenswood Gardens, Lincoln Square, Chicago, Jefferson Township, Cook County, Illinois, 60625, United States",house
"42.009018227, -87.672723959","1700, West Lunt Avenue, Rogers Park, Chicago, Rogers Park Township, Cook County, Illinois, 60645, United States",apartments
"41.950404411, -87.702007128","3800, North Richmond Street, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60625, United States",yes
"42.009412547, -87.663958214","1300-1308, West Lunt Avenue, Rogers Park, Chicago, Rogers Park Township, Cook County, Illinois, 60645, United States",apartments
"41.982745595, -87.657966347","5531-5539, North Winthrop Avenue, Edgewater, Chicago, Lake View Township, Cook County, Illinois, 60640, United States",apartments
"41.985476499, -87.65839767","1144, West Hollywood Avenue, Edgewater, Chicago, Lake View Township, Cook County, Illinois, 60660, United States",house
"42.004764559, -87.659122427","1114-1116, West Columbia Avenue, Rogers Park, Chicago, Rogers Park Township, Cook County, Illinois, 60626, United States",yes
"41.941311617, -87.685615817","2245, West School Street, Hamlin Park, North Center, Chicago, Lake View Township, Cook County, Illinois, 60618, United States",yes
"41.870268722, -87.684913926","832, South Claremont Avenue, Claremont Cottages, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60612, United States",yes
"41.8713514, -87.6886749","2500, West Polk Street, Claremont Cottages, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60612, United States",yes
"41.86958386, -87.659204671","1301-1307, West Taylor Street, University Village/Little Italy, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60607, United States",yes
"41.790566628, -87.594015444","5715, South Kimbark Avenue, Hyde Park, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States",residential
"41.834673598, -87.610834737","608, East 33rd Street, Douglas, Chicago, Cook County, Illinois, 60653, United States",yes
"41.964636199, -87.742787877","4602, North Kenton Avenue, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60641, United States",yes
"41.673819904, -87.635739777","12109, South Parnell Avenue, Stewart Ridge, West Pullman, Chicago, Lake Township, Cook County, Illinois, 60628, United States",yes
"41.912084382, -87.6945983","1655-1657, North Washtenaw Avenue, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60647, United States",yes
"41.969205937, -87.723168974","4830, North Hamlin Avenue, Albany Park, Chicago, Jefferson Township, Cook County, Illinois, 60625, United States",yes
"41.729676423, -87.572717134","9101, South Clyde Avenue, Pill Hill, Calumet Heights, Chicago, Hyde Park Township, Cook County, Illinois, 60617, United States",yes
"42.006278861, -87.66768361","6825-6831, North Greenview Avenue, Rogers Park, Chicago, Rogers Park Township, Cook County, Illinois, 60626, United States",yes
"41.920960866, -87.715252818","2204, North Drake Avenue, Simons, Logan Square, Chicago, Jefferson Township, Cook County, Illinois, 60647, United States",residential
"41.797153425, -87.582365702","East View Park, Hyde Park, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States",residential
"41.929297368, -87.798032181","2706, North New England Avenue, Galewood, Beat 2512, Chicago, Jefferson Township, Cook County, Illinois, 60634, United States",yes
"41.99438102, -87.672538401","1717, West Granville Avenue, Edgewater Glen, Edgewater, Chicago, Lake View Township, Cook County, Illinois, 60660, United States",yes
"41.88414467, -87.747874339","181, North Lamon Avenue, Moreland, Austin, Chicago, West Chicago Township, Cook County, Illinois, 60651, United States",yes
"41.950212096, -87.712814232","3420, West Grace Street, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",yes
"41.990064253, -87.72396783","North Park Village Nature Center, 5801, North Pulaski Road, Brynford Park, North Park, Chicago, Jefferson Township, Cook County, Illinois, 60646, United States",nature_reserve
"41.93749397, -87.709987338","3241, West Barry Avenue, Avondale, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",yes
"41.788869841, -87.771912186","5954, West 57th Street, Garfield Ridge, Chicago, Lake Township, Cook County, Illinois, 60638, United States",yes
"41.986953058, -87.672080994","5804, North Paulina Street, West Edgewater, Andersonville, Chicago, Lake View Township, Cook County, Illinois, 60660, United States",yes
"41.994266094, -87.678688211","1945, West Granville Avenue, Granville Gardens, West Ridge, Chicago, Lake View Township, Cook County, Illinois, 60645, United States",yes
"41.834962325, -87.625154127","Illinois Institute of Technology, South Michigan Avenue, Bronzeville, Douglas, Chicago, Cook County, Illinois, 60616, United States",university
"41.856309817, -87.644209287","South Union Avenue, Lower West Side, Chicago, West Chicago Township, Cook County, Illinois, 60616, United States",bridge
"42.000874825, -87.701802904","6541-6553, North Francisco Avenue, West Ridge, Chicago, Rogers Park Township, Cook County, Illinois, 60645, United States",yes
"41.690633347, -87.570058269","Big Marsh Park, 11555, South Stony Island Avenue, South Deering, Chicago, Hyde Park Township, Cook County, Illinois, 60617, United States",nature_reserve
"41.970288894, -87.759857019","Kennedy Expressway, Jefferson Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",motorway
"41.91292537, -87.7753675","6020-6024, West Bloomingdale Avenue, Austin, Chicago, Jefferson Township, Cook County, Illinois, 60707, United States",yes
"41.904712, -87.701884559","1360, North Humboldt Drive, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60647, United States",house
"41.828119978, -87.690754177","2623, West 36th Street, Brighton Park, Chicago, Cook County, Illinois, 60632, United States",yes
"41.806021704, -87.594347985","1322, East 49th Street, Indian Village, Kenwood, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States",yes
"41.994143646, -87.704893486","6200-6208, North Sacramento Avenue, West Ridge, Chicago, Jefferson Township, Cook County, Illinois, 60645, United States",yes
"41.985916382, -87.768970241","5712, North Manton Avenue, Gladstone, Jefferson Park, Chicago, Jefferson Township, Cook County, Illinois, 60646, United States",yes
"42.001315924, -87.693637494","6559, North Maplewood Avenue, West Ridge, Chicago, Rogers Park Township, Cook County, Illinois, 60645, United States",yes
"41.885621155, -87.698891591","258, North Francisco Avenue, East Garfield Park, Chicago, West Chicago Township, Cook County, Illinois, 60612, United States",yes
"41.928464984, -87.695086675","2608-2614, North Washtenaw Avenue, Maplewood, Logan Square, Chicago, West Chicago Township, Cook County, Illinois, 60647, United States",yes
"41.949876432, -87.738141891","4362, West Grace Street, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60641, United States",yes
"41.995512991, -87.655814902","Sacred Heart Schools, 6250, North Sheridan Road, Edgewater Glen, Edgewater, Chicago, Lake View Township, Cook County, Illinois, 60660, United States",school
"41.832937181, -87.65358342","3346, South Aberdeen Street, Bridgeport, Chicago, Cook County, Illinois, 60608, United States",yes
"41.790447899, -87.590431128","Blackstone Court, 5724-5732, South Blackstone Avenue, Hyde Park, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States",residential
"41.797965209, -87.589607031","1455, East 54th Street, Hyde Park, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States",yes
"41.863118103, -87.672920435","1871, West 14th Street, Illinois Medical District, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60608, United States",house
"41.92556723, -87.712327602","2426, North Kimball Avenue, Logan Square, Chicago, Jefferson Township, Cook County, Illinois, 60659, United States",residential
"41.997153943, -87.657498791","Loyola University Chicago, 1032, West Sheridan Road, Rogers Park, Chicago, Rogers Park Township, Cook County, Illinois, 60660, United States",university
"41.897425765, -87.699374404","860, North Francisco Avenue, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60622, United States",yes
"41.891697045, -87.702105247","North Sacramento Boulevard, Humboldt Park, Chicago, West Chicago Township, Cook County, Illinois, 60622, United States",secondary
"41.663670652, -87.540935513","IDNR Burnham Greenway Trail, Hegewisch, Chicago, Hyde Park Township, Cook County, Illinois, 60633, United States",path
"41.980506822, -87.826676182","5599, North Washington Street, Norwood Park Township, Cook County, Illinois, 60656, United States",house
"42.008487008, -87.685913133","6967-6977, North Bell Avenue, West Ridge, Chicago, Rogers Park Township, Cook County, Illinois, 60645, United States",apartments
"41.783034178, -87.582630304","Wooded Island, Moon Bridge, Hyde Park, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States",nature_reserve
"41.955584115, -87.713090057","4056, North Kimball Avenue, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60659, United States",yes
"41.970244982, -87.713435328","4901-4909, North Kimball Avenue, Albany Park, Chicago, Jefferson Township, Cook County, Illinois, 60659, United States",yes
"41.933785052, -87.72205233","2906-2910, North Hamlin Avenue, Avondale, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",yes
"41.915707408, -87.699596792","1900, North Francisco Avenue, Logan Square, Chicago, West Chicago Township, Cook County, Illinois, 60647, United States",yes
"41.958797863, -87.738393906","4255, North Kostner Avenue, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",yes
"41.797971191, -87.598944513","1118-1126, East 54th Street, Hyde Park, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States",yes
"41.801226836, -87.58530316","Hyde Park Tower, 5140, South Hyde Park Boulevard, Hyde Park, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States",apartments
"41.994225234, -87.686076881","6201-6205, North Bell Avenue, Granville Gardens, West Ridge, Chicago, Lake View Township, Cook County, Illinois, 60645, United States",yes
"41.907965246, -87.694534282","1442, North Washtenaw Avenue, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60647, United States",yes
"41.804147373, -87.73082849","4859, South Kildare Avenue, Archer Heights, Chicago, Lake Township, Cook County, Illinois, 60629, United States",yes
"41.804853522, -87.676967754","2098, West 49th Street, Back of the Yards, New City, Chicago, Lake Township, Cook County, Illinois, 60609, United States",house
"41.960518218, -87.762285982","5358, West Montrose Avenue, Montrose, Portage Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",yes
"41.857666547, -87.692152661","Lagunitas Brewing Company, 1807, South Washtenaw Avenue, North Lawndale, Chicago, West Chicago Township, Cook County, Illinois, 60608, United States",brewery
"41.944946754, -87.685778214","3456, North Oakley Avenue, Bricktown, North Center, Chicago, Lake View Township, Cook County, Illinois, 60618, United States",yes
"42.015719907, -87.68711599","Acero Cruz School, North Ridge Avenue, West Ridge, Chicago, Rogers Park Township, Cook County, Illinois, 60645, United States",school
"41.895257643, -87.733518051","4300-4324, West Chicago Avenue, Humboldt Park, Chicago, West Chicago Township, Cook County, Illinois, 60651, United States",industrial
"41.751337129, -87.726870174","4207, West 78th Street, Ashburn, Chicago, Lake Township, Cook County, Illinois, 60652, United States",yes
"41.949591689, -87.761958275","3816-3824, North Long Avenue, Portage Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",yes
"41.796640334, -87.745282845","5230-5270, South Cicero Avenue, Garfield Ridge, Chicago, Lake Township, Cook County, Illinois, 60638, United States",industrial
"41.769784724, -87.573951955","6900, South Clyde Avenue, South Shore, Chicago, Hyde Park Township, Cook County, Illinois, 60649, United States",yes
"41.97153938, -87.738937205","4955, North Kenneth Avenue, Mayfair, Albany Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",yes
"41.831157182, -87.638333371","Lot G, West 33rd Street, Bridgeport, Chicago, Cook County, Illinois, 60616, United States",parking
"41.964652354, -87.721016769","3717, West Wilson Avenue, Albany Park, Chicago, Jefferson Township, Cook County, Illinois, 60625, United States",yes
"41.915496209, -87.710195634","1859, North Spaulding Avenue, Simons, Logan Square, Chicago, Jefferson Township, Cook County, Illinois, 60647, United States",yes
"41.960675697, -87.752409137","4414-4424, North Lavergne Avenue, Montrose, Portage Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",yes
"41.815268494, -87.741190447","4259, South Kilpatrick Avenue, Sleepy Hollow, Garfield Ridge, Chicago, Lake Township, Cook County, Illinois, 60804, United States",yes
"41.835067917, -87.64316237","3238, South Lowe Avenue, Bridgeport, Chicago, Cook County, Illinois, 60616, United States",yes
"41.971142808, -87.705776701","4929, North Albany Avenue, Albany Park, Chicago, Jefferson Township, Cook County, Illinois, 60625, United States",yes
"41.841875281, -87.632028593","2824-2826, South Wentworth Avenue, Chinatown, Armour Square, Chicago, Cook County, Illinois, 60616, United States",yes
"41.963115755, -87.713229335","4501-4507, North Kimball Avenue, Albany Park, Chicago, Jefferson Township, Cook County, Illinois, 60659, United States",yes
"41.783170859, -87.603558887","6124-6128, South Ingleside Avenue, Woodlawn, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States",yes
"41.842303942, -87.655516289","2814, South Keeley Street, Locks, Bridgeport, Chicago, Cook County, Illinois, 60608, United States",yes
"41.660136051, -87.60284764","East 130th Street, Philip Murray Homes, Riverdale, Chicago, Hyde Park Township, Cook County, Illinois, 60628, United States",secondary
"41.964647733, -87.725891015","3986, West Wilson Avenue, Albany Park, Chicago, Jefferson Township, Cook County, Illinois, 60625, United States",house
"41.728182061, -87.596475596","Harold Washington Elementary School, 9130, South University Avenue, Burnside, Chicago, Hyde Park Township, Cook County, Illinois, 60619, United States",school
"41.949353232, -87.78151908","3801, North Melvina Avenue, Schorsch, Dunning, Chicago, Jefferson Township, Cook County, Illinois, 60634, United States",house
"41.977002304, -87.761924979","5249, North Lind Avenue, Jefferson Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",yes
"42.008540761, -87.69496375","7000, North Rockwell Street, West Ridge, Chicago, Rogers Park Township, Cook County, Illinois, 60645, United States",yes
"41.959210185, -87.712973172","Kimball & Cullom NB, North Kimball Avenue, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60659, United States",bus_stop
"41.853834685, -87.693538797","2026, South Washtenaw Avenue, Bohemian California, South Lawndale, Chicago, West Chicago Township, Cook County, Illinois, 60608, United States",yes
"41.942699578, -87.731002484","4132, West Roscoe Street, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60641, United States",yes
"41.827400252, -87.624088952","58, East 37th Street, Bronzeville, Douglas, Chicago, Cook County, Illinois, 60653, United States",yes
"41.942488155, -87.747154322","4810, West Roscoe Street, Portage Park, Chicago, Jefferson Township, Cook County, Illinois, 60641, United States",yes
"41.979204551, -87.797398984","5401-5409, North Newcastle Avenue, Norwood Park, Chicago, Jefferson Township, Cook County, Illinois, 60656, United States",yes
"41.9519781, -87.841558069","Schiller Model Airplane Flying Field, West Irving Park Road, O'Hare, Chicago, Jefferson Township, Cook County, Illinois, 60176, United States",runway
"41.776163693, -87.579948248","Jackson Park Golf Course, 6401, South Richards Drive, Woodlawn, Chicago, Hyde Park Township, Cook County, Illinois, 60649, United States",golf_course
"41.952664895, -87.745243205","North Milwaukee Avenue, Portage Park, Chicago, Jefferson Township, Cook County, Illinois, 60641, United States",parking
"42.016046492, -87.673333778","1718, West Jarvis Avenue, Rogers Park, Chicago, Rogers Park Township, Cook County, Illinois, 60626, United States",yes
"41.965362587, -87.731832739","4642, North Kennicott Avenue, Mayfair, Albany Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",yes
