cluster,pickup_latitude,pickup_longitude
0,41.85526033333333,-87.62060933333333
1,41.94942566666666,-87.72467916666666
2,41.745987,-87.6993535
3,41.9660278,-87.685844
4,41.89422342857143,-87.68433828571428
5,41.751726500000004,-87.616052
6,41.981390000000005,-87.83413100000001
7,41.947361666666666,-87.65221141666666
8,41.8896826,-87.6434654
9,41.854719599999996,-87.65867940000001
10,41.789159500000004,-87.59268516666667
11,41.805819,-87.73064725
12,41.980368769230765,-87.66085730769231
13,42.009066,-87.668913125
14,41.9817266,-87.7666066
15,41.707311,-87.534903
16,41.881291,-87.75332966666667
17,41.90615975,-87.6557165
18,41.9502355,-87.77036233333332
19,41.93240625,-87.67899274999999
20,41.69338833333333,-87.62906400000001
21,41.782188,-87.7430092
22,41.92387028571428,-87.71571342857143
23,41.91844981818182,-87.64234754545454
24,41.83782428571429,-87.62958257142857
25,41.8252836,-87.6860638
26,41.9796675,-87.9083325
27,41.85901275,-87.694725
28,41.9002636,-87.62913053333334
29,41.9832095,-87.72501625000001
30,41.736937999999995,-87.5795325
31,41.7765625,-87.65454700000001
32,41.713149,-87.675075
33,41.939439,-87.7433284
34,41.943890375,-87.685573875
35,41.9964625,-87.69739866666667
36,41.875218000000004,-87.661077
37,41.80479666666667,-87.62273866666665
38,42.007613,-87.813781
39,41.787015000000004,-87.77001266666667
40,41.965200333333335,-87.75168466666666
41,41.937904,-87.80202600000001
42,41.663671,-87.540936
43,41.913126416666664,-87.67802225000001
44,41.694879,-87.713192
45,41.95626071428571,-87.70820357142857
46,41.76917566666666,-87.57556066666666
47,41.744205,-87.656306
48,41.935571333333336,-87.64247783333333
49,41.99569675,-87.659093125
50,41.9581163,-87.6677265
51,41.880846250000005,-87.623287
52,41.89202675,-87.7070735
53,41.920093,-87.77043499999999
54,41.690633,-87.570058
55,41.895114222222226,-87.66960911111111
56,41.833799,-87.61110675
57,41.97170257142857,-87.70326157142857
58,41.9649995,-87.65156166666667
59,41.886926,-87.731875
60,41.9424237,-87.66944550000001
61,41.965793,-87.72838677777777
62,41.924088625,-87.698500375
63,41.717153999999994,-87.597366
64,41.838080500000004,-87.65462625
65,41.802176714285714,-87.58992614285714
66,41.937358499999995,-87.70628116666667
67,41.8496385,-87.715612
68,41.741243,-87.551428
69,41.9094425,-87.69454475
70,41.9924115,-87.67926266666666
71,41.717493,-87.648895
72,41.68973,-87.669054
73,41.928962125,-87.658963125
74,41.85912775,-87.63821
75,42.010916,-87.689331
76,41.985015,-87.804532
77,41.783640000000005,-87.6960505
78,41.809018,-87.659167
79,41.87056675,-87.67933375
